shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs,shopindex,GBDT_label,GBDT_probs
6779655,0.0,0.0,0.0,0.0,20.0,0.0,1.0,291.0,1062.0,405.0,5.0,0,0.94,6779655,0,0.7910867573249691
6808680,0.0,0.0,0.0,0.0,3.0,0.0,2.0,610.0,3231.0,4565.0,5.0,1,0.66,6808680,0,0.7910867573249691
6815295,0.0,0.0,0.0,0.0,0.0,0.0,20.0,456.0,1527.0,2108.0,5.0,1,0.79,6815295,0,0.8013022647801775
6833610,0.0,0.0,0.0,0.0,6.0,0.0,5.0,500.0,1884.0,3070.0,5.0,1,0.7,6833610,0,0.7910867573249691
6842700,0.0,0.0,0.0,0.0,6.0,0.0,1.0,269.0,1032.0,405.0,4.887218045112782,0,0.94,6842700,0,0.7910867573249691
6889635,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1050.0,405.0,4.172932330827068,0,0.93,6889635,0,0.7910867573249691
6894900,0.0,0.0,0.0,0.0,6.0,0.0,1.0,258.0,1047.0,405.0,4.872180451127819,0,0.95,6894900,0,0.7910867573249691
7077015,0.0,0.0,0.0,0.0,1.0,0.0,1.0,368.0,1050.0,405.0,4.0,0,0.86,7077015,0,0.80791934985067
7090875,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1029.0,405.0,4.406015037593985,0,0.93,7090875,0,0.7910867573249691
7316550,0.0,0.0,0.0,0.0,11.0,0.0,12.0,357.0,1170.0,405.0,5.0,0,0.98,7316550,0,0.7910867573249691
7352280,0.0,0.0,0.0,0.0,5.0,0.0,1.0,423.0,1527.0,405.0,2.0,0,0.91,7352280,0,0.7910867573249691
7417440,0.0,0.0,0.0,0.0,1.0,0.0,7.0,247.0,1221.0,405.0,5.0,0,0.95,7417440,0,0.80791934985067
7433460,0.0,0.0,0.0,0.0,13.0,0.0,5.0,258.0,1287.0,405.0,5.0,0,0.92,7433460,0,0.7910867573249691
7436925,0.0,0.0,0.0,0.0,8.0,0.0,1.0,357.0,1038.0,405.0,5.0,0,0.94,7436925,0,0.7910867573249691
7476930,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1578.0,405.0,4.0,0,0.9,7476930,0,0.7910867573249691
7562385,0.0,0.0,0.0,0.0,15.0,0.0,2.0,258.0,1023.0,405.0,4.7481203007518795,0,0.97,7562385,0,0.7910867573249691
7657290,0.0,0.0,0.0,0.0,8.0,0.0,11.0,247.0,1188.0,704.0,1.0,0,0.93,7657290,0,0.7910867573249691
7856505,0.0,0.0,0.0,0.0,8.0,0.0,4.0,434.0,1242.0,1289.0,4.0,0,0.79,7856505,0,0.7910867573249691
